id_siniestro,id_poliza,id_asegurado,ramo,cobertura,fecha_ocurrencia,fecha_reporte,monto_reclamado,monto_estimado,monto_pagado,estado,sucursal,descripcion,documentos_completos,beneficiario,id_proveedor,dias_desde_inicio_poliza,dias_desde_fin_poliza,dias_entre_ocurrencia_reporte,historial_siniestros_asegurado,ciudad,suma_asegurada,etiqueta_fraude_simulada
SIN-00210,POL-00344,ASG-00012,Salud,Atencion medica,2025-02-05,2025-02-07,12125.84,11369.49,10781.97,Pago Parcial,Centro,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Taller Premium,P008,249,116,2,1,Loja,34791.01,0
SIN-00211,POL-00510,ASG-00248,Hogar,Responsabilidad Civil,2025-12-06,2025-12-10,17596.97,17449.51,17268.66,Cierre Sin Consecuencia,Oeste,Impacto en la parte trasera por vehiculo que huyo del lugar del accidente.,True,Taller El Veloz,P001,24,341,4,3,Manta,26668.98,0
SIN-00212,POL-00196,ASG-00216,Vehiculos,Responsabilidad Civil,2025-09-05,2025-09-07,7294.78,7576.36,6591.42,Pago Parcial,Centro,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Taller El Veloz,P001,260,105,2,1,Ambato,17148.97,0
SIN-00213,POL-00478,ASG-00053,Generales,Atencion medica,2025-10-11,2025-10-12,7194.98,7482.32,5272.62,Reserva,Sur,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Taller Norte,P003,310,55,1,0,Loja,38549.96,0
SIN-00214,POL-00001,ASG-00231,Vida,Atencion medica,2026-06-13,2026-06-19,23698.5,19972.94,18373.43,Negativa,Oeste,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,True,Taller El Veloz,P001,20,345,6,3,Guayaquil,29886.7,0
SIN-00215,POL-00364,ASG-00007,Vehiculos,Responsabilidad Civil,2025-07-03,2025-07-06,8924.27,9603.03,8442.14,Pago Total,Oeste,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Peritajes Express,P004,145,220,3,1,Guayaquil,37160.71,0
SIN-00216,POL-00313,ASG-00282,Hogar,Responsabilidad Civil,2026-02-19,2026-02-25,19699.92,18871.96,17140.27,Liquidado,Centro,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,False,Clinica San Marcos,P002,25,340,6,2,Guayaquil,30160.12,0
SIN-00217,POL-00091,ASG-00280,Salud,Atencion medica,2026-05-05,2026-05-06,14610.72,14410.07,13977.39,Pago Parcial,Norte,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Taller Norte,P003,144,221,1,0,Cuenca,46957.89,0
SIN-00218,POL-00277,ASG-00351,Salud,Choque,2026-04-03,2026-04-09,8370.11,8555.44,7719.78,Cierre Sin Consecuencia,Norte,El vehiculo fue impactado por un tercero que se dio a la fuga sin dejar datos.,False,Clinica San Marcos,P002,20,345,6,2,Guayaquil,11316.68,0
SIN-00219,POL-00229,ASG-00176,Hogar,Atencion medica,2025-06-13,2025-06-18,8590.84,6872.76,6055.84,Reserva,Oeste,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,True,Taller Norte,P003,11,354,5,2,Loja,11001.73,0
SIN-00220,POL-00026,ASG-00073,Hogar,Choque,2024-09-01,2024-09-06,18869.68,19747.23,17859.32,Cierre Sin Consecuencia,Oeste,Impacto en la parte trasera por vehiculo que huyo del lugar del accidente.,True,Taller Premium,P008,20,345,5,3,Ambato,25489.97,0
SIN-00221,POL-00190,ASG-00373,Generales,Responsabilidad Civil,2025-11-03,2025-11-04,2562.68,2416.22,1901.59,Cierre Sin Consecuencia,Norte,Choque en parqueadero de centro comercial con camaras de seguridad.,True,Taller Norte,P003,344,21,1,0,Cuenca,20202.58,0
SIN-00222,POL-00291,ASG-00308,Salud,Robo,2026-01-25,2026-02-06,37871.23,40614.34,0.0,Pago Parcial,Sur,Impacto en la parte trasera por vehiculo que huyo del lugar del accidente.,False,Grua Rapida,P007,1,364,12,3,Ambato,41920.39,1
SIN-00223,POL-00577,ASG-00284,Salud,Robo,2025-03-06,2025-03-08,17566.34,14412.53,13717.81,Negativa,Este,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Clinica del Sur,P006,222,143,2,1,Guayaquil,43563.82,0
SIN-00224,POL-00599,ASG-00119,Generales,Robo,2026-02-09,2026-02-20,21400.64,19198.47,0.0,Pago Total,Sur,Impacto en la parte trasera por vehiculo que huyo del lugar del accidente.,False,Taller El Veloz,P001,3,362,11,6,Manta,23526.13,1
SIN-00225,POL-00257,ASG-00004,Generales,Robo,2025-09-25,2025-10-10,37655.1,33752.06,0.0,Cierre Sin Consecuencia,Este,El vehiculo fue impactado por un tercero que se dio a la fuga sin dejar datos.,False,Grua Rapida,P007,2,363,15,4,Manta,38567.8,1
SIN-00226,POL-00099,ASG-00055,Salud,Robo,2025-03-21,2025-04-03,18699.87,15999.45,0.0,Cierre Sin Consecuencia,Oeste,El vehiculo fue impactado por un tercero que se dio a la fuga sin dejar datos.,False,Grua Rapida,P007,1,364,13,5,Guayaquil,19131.5,1
SIN-00227,POL-00530,ASG-00354,Salud,Robo,2024-07-31,2024-08-08,5257.79,5501.74,0.0,Pago Parcial,Centro,El vehiculo fue impactado por un tercero que se dio a la fuga sin dejar datos.,False,Clinica San Marcos,P002,4,361,8,4,Quito,5476.01,1
SIN-00228,POL-00597,ASG-00105,Generales,Atencion medica,2026-07-05,2026-07-05,388.5,334.17,322.94,Reserva,Sur,Accidente en carretera con policia presente. Croquis firmado por ambas partes.,True,Taller Premium,P008,316,49,0,1,Cuenca,6021.06,0
SIN-00229,POL-00075,ASG-00206,Vehiculos,Choque,2025-05-02,2025-05-08,23775.82,25772.52,20132.27,Reserva,Norte,Choque en parqueadero de centro comercial con camaras de seguridad.,True,Taller El Veloz,P001,24,341,6,3,Cuenca,29194.49,0
SIN-00230,POL-00442,ASG-00331,Vida,Robo,2026-04-05,2026-04-07,16728.16,16804.81,15483.57,Liquidado,Este,Choque en parqueadero de centro comercial con camaras de seguridad.,True,Taller Premium,P008,11,354,2,3,Guayaquil,27529.6,0
SIN-00231,POL-00441,ASG-00217,Hogar,Choque,2025-09-24,2025-09-27,768.54,695.94,558.8,Reserva,Sur,Choque en parqueadero de centro comercial con camaras de seguridad.,True,Grua Rapida,P007,114,251,3,1,Guayaquil,7454.6,0
SIN-00232,POL-00582,ASG-00124,Vehiculos,Choque,2025-03-08,2025-03-09,2310.78,1936.47,1460.44,Reserva,Centro,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Taller El Veloz,P001,80,285,1,0,Quito,5559.03,0
SIN-00233,POL-00126,ASG-00091,Vehiculos,Robo,2024-10-26,2024-11-10,46285.74,46930.97,0.0,Pago Parcial,Oeste,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,False,Clinica San Marcos,P002,4,361,15,6,Quito,47691.42,1
SIN-00234,POL-00534,ASG-00337,Generales,Dano parcial,2024-07-26,2024-07-28,9426.64,9516.22,8516.75,Negativa,Norte,El vehiculo fue impactado por un tercero que se dio a la fuga sin dejar datos.,True,Peritajes Express,P004,17,348,2,2,Ambato,13314.59,0
SIN-00235,POL-00394,ASG-00162,Vehiculos,Choque,2025-07-07,2025-07-07,8331.94,7903.74,7578.36,Negativa,Este,Choque en parqueadero de centro comercial con camaras de seguridad.,True,Taller Central,P005,348,17,0,1,Manta,47450.66,0
SIN-00236,POL-00442,ASG-00331,Vida,Choque,2027-03-18,2027-03-20,12987.11,13984.64,13596.35,Liquidado,Sur,Choque en parqueadero de centro comercial con camaras de seguridad.,True,Taller El Veloz,P001,358,7,2,1,Guayaquil,27529.6,0
SIN-00237,POL-00059,ASG-00043,Hogar,Responsabilidad Civil,2025-08-19,2025-08-21,14922.97,13835.84,12670.39,Liquidado,Centro,Choque en parqueadero de centro comercial con camaras de seguridad.,True,Clinica San Marcos,P002,335,30,2,1,Guayaquil,34201.0,0
SIN-00238,POL-00288,ASG-00263,Vehiculos,Robo,2025-03-13,2025-03-25,10839.88,9848.12,0.0,Cierre Sin Consecuencia,Centro,El vehiculo fue impactado por un tercero que se dio a la fuga sin dejar datos.,False,Clinica San Marcos,P002,9,356,12,5,Cuenca,11608.93,1
SIN-00239,POL-00455,ASG-00339,Generales,Robo,2024-11-24,2024-12-02,30194.61,24686.37,0.0,Reserva,Centro,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,False,Clinica San Marcos,P002,8,357,8,6,Cuenca,30297.97,1
SIN-00240,POL-00051,ASG-00073,Generales,Robo,2026-05-10,2026-05-25,31854.65,34578.58,0.0,Pago Parcial,Centro,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,False,Taller El Veloz,P001,3,362,15,3,Ambato,33251.58,1
SIN-00241,POL-00455,ASG-00339,Generales,Robo,2025-05-21,2025-05-22,5956.73,4892.96,4051.09,Pago Parcial,Sur,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Clinica San Marcos,P002,186,179,1,1,Cuenca,30297.97,0
SIN-00242,POL-00384,ASG-00328,Vehiculos,Atencion medica,2026-01-01,2026-01-01,4697.1,5068.61,4934.61,Reserva,Norte,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Taller Premium,P008,56,309,0,1,Ambato,38456.48,0
SIN-00243,POL-00154,ASG-00317,Generales,Responsabilidad Civil,2025-07-25,2025-07-25,11073.25,10649.04,7841.66,Liquidado,Norte,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,True,Grua Rapida,P007,28,337,0,1,Loja,23077.4,0
SIN-00244,POL-00371,ASG-00031,Vehiculos,Responsabilidad Civil,2025-05-02,2025-05-02,4315.94,3921.31,3158.99,Liquidado,Norte,Accidente en carretera con policia presente. Croquis firmado por ambas partes.,True,Peritajes Express,P004,176,189,0,1,Loja,11926.33,0
SIN-00245,POL-00251,ASG-00023,Hogar,Responsabilidad Civil,2025-01-24,2025-01-25,4406.28,3939.89,2854.26,Negativa,Oeste,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Grua Rapida,P007,102,263,1,1,Guayaquil,13663.06,0
SIN-00246,POL-00016,ASG-00394,Generales,Robo,2024-06-07,2024-06-22,36754.53,29667.5,0.0,Pago Total,Norte,El vehiculo fue impactado por un tercero que se dio a la fuga sin dejar datos.,False,Taller El Veloz,P001,9,356,15,6,Cuenca,37724.6,1
SIN-00247,POL-00345,ASG-00086,Vida,Dano parcial,2025-08-17,2025-08-17,3914.55,3999.2,3225.3,Negativa,Este,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Clinica del Sur,P006,178,187,0,0,Guayaquil,7870.66,0
SIN-00248,POL-00008,ASG-00267,Salud,Incendio,2025-06-07,2025-06-10,2452.23,2656.82,1937.01,Pago Parcial,Este,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,True,Clinica del Sur,P006,21,344,3,1,Loja,12627.58,0
SIN-00249,POL-00043,ASG-00388,Vehiculos,Atencion medica,2025-11-24,2025-11-26,2355.87,1968.48,1539.66,Negativa,Sur,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Peritajes Express,P004,161,204,2,0,Ambato,24861.5,0
SIN-00250,POL-00286,ASG-00170,Vehiculos,Robo,2025-03-20,2025-03-30,23964.6,22682.73,0.0,Reserva,Centro,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,False,Taller El Veloz,P001,9,356,10,3,Cuenca,26546.66,1
SIN-00251,POL-00123,ASG-00361,Vida,Incendio,2026-09-25,2026-09-27,1794.71,1829.69,1344.71,Pago Parcial,Norte,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,True,Taller Premium,P008,276,89,2,1,Guayaquil,20145.25,0
SIN-00252,POL-00465,ASG-00282,Hogar,Atencion medica,2026-02-02,2026-02-02,2480.25,2125.87,1844.09,Cierre Sin Consecuencia,Norte,Choque en parqueadero de centro comercial con camaras de seguridad.,True,Clinica San Marcos,P002,183,182,0,1,Guayaquil,10122.65,0
SIN-00253,POL-00226,ASG-00222,Generales,Robo,2025-02-10,2025-02-13,22654.9,22438.13,16303.85,Liquidado,Sur,El asegurado reporta que su vehiculo fue robado en un estacionamiento sin camaras.,False,Peritajes Express,P004,26,339,3,2,Ambato,27874.98,0
SIN-00254,POL-00214,ASG-00330,Salud,Robo,2025-06-16,2025-06-30,25154.31,24126.46,0.0,Pago Total,Centro,El asegurado reporta que su vehiculo fue robado en un estacionamiento sin camaras.,False,Taller El Veloz,P001,5,360,14,6,Loja,26118.0,1
SIN-00255,POL-00225,ASG-00235,Generales,Atencion medica,2026-07-08,2026-07-11,5376.84,5369.99,3945.58,Negativa,Centro,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Clinica San Marcos,P002,255,110,3,0,Loja,11058.62,0
SIN-00256,POL-00496,ASG-00208,Vehiculos,Responsabilidad Civil,2025-06-06,2025-06-07,2259.61,2410.88,2253.81,Reserva,Oeste,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Taller Premium,P008,5,360,1,0,Manta,35847.89,0
SIN-00257,POL-00056,ASG-00249,Hogar,Robo,2025-02-14,2025-02-16,13217.85,12349.32,9464.43,Pago Total,Oeste,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Taller Central,P005,107,258,2,1,Guayaquil,39301.43,0
SIN-00258,POL-00022,ASG-00331,Vida,Robo,2026-05-18,2026-05-31,19457.36,18593.35,0.0,Pago Parcial,Oeste,El vehiculo fue impactado por un tercero que se dio a la fuga sin dejar datos.,False,Grua Rapida,P007,6,359,13,3,Guayaquil,19921.85,1
SIN-00259,POL-00255,ASG-00092,Hogar,Robo,2025-07-06,2025-07-15,29334.26,25958.68,0.0,Reserva,Sur,El vehiculo fue impactado por un tercero que se dio a la fuga sin dejar datos.,False,Clinica San Marcos,P002,9,356,9,4,Manta,30873.3,1
SIN-00260,POL-00087,ASG-00040,Generales,Robo,2026-01-27,2026-02-04,24873.33,25389.75,0.0,Negativa,Sur,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,False,Grua Rapida,P007,7,358,8,3,Manta,27591.84,1
SIN-00261,POL-00440,ASG-00150,Vida,Incendio,2025-02-22,2025-02-26,13844.86,15200.91,13958.5,Pago Parcial,Oeste,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Clinica San Marcos,P002,28,337,4,2,Loja,18704.94,0
SIN-00262,POL-00407,ASG-00295,Vehiculos,Incendio,2026-02-13,2026-02-13,8010.53,8354.22,8293.61,Reserva,Oeste,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Peritajes Express,P004,51,314,0,0,Loja,23611.19,0
SIN-00263,POL-00413,ASG-00268,Hogar,Dano parcial,2025-08-29,2025-08-30,2527.98,2334.74,2152.99,Pago Total,Norte,Accidente en carretera con policia presente. Croquis firmado por ambas partes.,True,Taller Premium,P008,222,143,1,1,Manta,33036.89,0
SIN-00264,POL-00559,ASG-00087,Hogar,Responsabilidad Civil,2025-05-05,2025-05-09,18153.98,19540.38,16173.78,Reserva,Este,Choque en parqueadero de centro comercial con camaras de seguridad.,False,Taller Premium,P008,18,347,4,2,Quito,24739.75,0
SIN-00265,POL-00203,ASG-00090,Vehiculos,Choque,2025-12-10,2025-12-10,9512.03,9396.45,8056.3,Pago Total,Oeste,Accidente en carretera con policia presente. Croquis firmado por ambas partes.,True,Taller Premium,P008,130,235,0,0,Manta,21209.66,0
SIN-00266,POL-00331,ASG-00215,Hogar,Robo,2026-12-08,2026-12-09,4158.35,3974.61,3081.8,Negativa,Sur,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,True,Clinica del Sur,P006,253,112,1,1,Manta,23026.67,0
SIN-00267,POL-00154,ASG-00317,Generales,Robo,2025-07-02,2025-07-13,21229.52,17586.84,0.0,Liquidado,Este,Impacto en la parte trasera por vehiculo que huyo del lugar del accidente.,False,Taller El Veloz,P001,5,360,11,5,Loja,23077.4,1
SIN-00268,POL-00292,ASG-00371,Hogar,Atencion medica,2025-04-16,2025-04-18,10541.17,10207.37,9109.87,Pago Total,Norte,Accidente en carretera con policia presente. Croquis firmado por ambas partes.,True,Grua Rapida,P007,101,264,2,1,Ambato,31844.0,0
SIN-00269,POL-00105,ASG-00191,Vehiculos,Dano parcial,2024-07-22,2024-07-25,3305.62,3603.12,3319.12,Liquidado,Este,Choque en parqueadero de centro comercial con camaras de seguridad.,True,Taller Norte,P003,23,342,3,1,Ambato,16646.93,0
SIN-00270,POL-00151,ASG-00213,Salud,Choque,2025-08-11,2025-08-13,27047.6,25089.94,21113.35,Pago Parcial,Oeste,El asegurado reporta que su vehiculo fue robado en un estacionamiento sin camaras.,True,Taller Norte,P003,21,344,2,3,Quito,31457.04,0
SIN-00271,POL-00486,ASG-00291,Salud,Dano parcial,2025-02-03,2025-02-09,25595.65,25938.74,24692.72,Liquidado,Este,El asegurado reporta que su vehiculo fue robado en un estacionamiento sin camaras.,True,Clinica del Sur,P006,21,344,6,3,Loja,41105.77,0
SIN-00272,POL-00355,ASG-00211,Generales,Dano parcial,2025-09-05,2025-09-10,11510.14,10454.63,7929.49,Liquidado,Centro,Impacto en la parte trasera por vehiculo que huyo del lugar del accidente.,True,Grua Rapida,P007,17,348,5,3,Manta,16245.33,0
SIN-00273,POL-00282,ASG-00335,Vida,Responsabilidad Civil,2025-06-27,2025-07-01,26877.81,25455.71,21434.59,Cierre Sin Consecuencia,Oeste,Accidente en carretera con policia presente. Croquis firmado por ambas partes.,True,Taller Premium,P008,19,346,4,3,Cuenca,34400.14,0
SIN-00274,POL-00157,ASG-00069,Hogar,Robo,2026-11-06,2026-11-06,5955.86,5556.9,5074.43,Pago Parcial,Norte,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Taller Norte,P003,253,112,0,0,Cuenca,24939.98,0
SIN-00275,POL-00376,ASG-00272,Salud,Incendio,2027-01-31,2027-02-03,17878.97,15338.05,14239.66,Pago Total,Centro,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Taller El Veloz,P001,274,91,3,0,Manta,41873.83,0
SIN-00276,POL-00204,ASG-00060,Vehiculos,Responsabilidad Civil,2026-02-15,2026-02-19,30615.51,28774.77,27359.96,Reserva,Oeste,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,False,Grua Rapida,P007,11,354,4,3,Manta,45063.14,0
SIN-00277,POL-00174,ASG-00164,Salud,Atencion medica,2025-07-29,2025-07-31,29470.41,30184.26,27812.78,Pago Parcial,Norte,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Taller El Veloz,P001,25,340,2,2,Quito,34493.03,0
SIN-00278,POL-00182,ASG-00078,Salud,Incendio,2026-04-30,2026-05-02,15153.11,15893.34,14401.15,Pago Total,Norte,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,False,Taller Central,P005,19,346,2,3,Manta,20420.14,0
SIN-00279,POL-00516,ASG-00289,Hogar,Robo,2024-12-01,2024-12-12,24892.65,23462.89,0.0,Negativa,Oeste,El vehiculo fue impactado por un tercero que se dio a la fuga sin dejar datos.,False,Taller El Veloz,P001,5,360,11,4,Ambato,26292.22,1
SIN-00280,POL-00103,ASG-00208,Vida,Atencion medica,2025-02-24,2025-02-25,7738.75,7210.21,6380.92,Liquidado,Oeste,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,True,Taller Norte,P003,190,175,1,0,Manta,29755.44,0
SIN-00281,POL-00308,ASG-00315,Generales,Robo,2025-11-15,2025-11-15,11579.22,11323.58,8483.71,Pago Total,Centro,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Taller El Veloz,P001,112,253,0,1,Loja,48358.84,0
SIN-00282,POL-00093,ASG-00106,Generales,Robo,2024-11-23,2024-11-25,6126.34,4902.62,3648.76,Pago Total,Centro,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,True,Taller Central,P005,112,253,2,1,Manta,23891.71,0
SIN-00283,POL-00158,ASG-00214,Generales,Robo,2024-06-08,2024-06-17,12744.96,13686.17,0.0,Cierre Sin Consecuencia,Este,Impacto en la parte trasera por vehiculo que huyo del lugar del accidente.,False,Grua Rapida,P007,6,359,9,4,Quito,13457.11,1
SIN-00284,POL-00074,ASG-00204,Generales,Responsabilidad Civil,2025-08-18,2025-08-18,5551.44,5719.94,4637.38,Pago Parcial,Oeste,Choque en parqueadero de centro comercial con camaras de seguridad.,True,Clinica del Sur,P006,265,100,0,0,Quito,37068.31,0
SIN-00285,POL-00236,ASG-00017,Hogar,Choque,2026-05-03,2026-05-04,1786.53,1635.07,1232.78,Pago Total,Centro,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Taller Norte,P003,8,357,1,1,Loja,9611.6,0
SIN-00286,POL-00530,ASG-00354,Salud,Choque,2024-12-20,2024-12-22,1964.41,2045.08,1439.06,Pago Parcial,Sur,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Clinica San Marcos,P002,146,219,2,1,Quito,5476.01,0
SIN-00287,POL-00119,ASG-00278,Hogar,Incendio,2025-08-11,2025-08-13,2883.77,2986.57,2969.31,Liquidado,Este,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Taller Premium,P008,282,83,2,0,Manta,6708.37,0
SIN-00288,POL-00265,ASG-00237,Generales,Dano parcial,2025-07-15,2025-07-18,8654.98,7027.44,6748.94,Negativa,Centro,Accidente en carretera con policia presente. Croquis firmado por ambas partes.,True,Peritajes Express,P004,307,58,3,1,Cuenca,35225.84,0
SIN-00289,POL-00346,ASG-00395,Vida,Choque,2026-04-30,2026-05-02,6497.99,5232.54,4172.37,Cierre Sin Consecuencia,Norte,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Taller Central,P005,315,50,2,1,Ambato,49820.62,0
SIN-00290,POL-00406,ASG-00316,Generales,Dano parcial,2025-08-16,2025-08-19,6667.74,6025.08,5045.46,Liquidado,Sur,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,False,Peritajes Express,P004,14,351,3,3,Ambato,8223.98,0
SIN-00291,POL-00392,ASG-00232,Vida,Responsabilidad Civil,2024-10-05,2024-10-10,3587.38,3770.54,3129.66,Reserva,Sur,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Clinica San Marcos,P002,20,345,5,2,Quito,5008.8,0
SIN-00292,POL-00448,ASG-00075,Salud,Robo,2025-07-05,2025-07-07,2015.11,2162.06,1953.34,Pago Parcial,Norte,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Taller Central,P005,161,204,2,1,Ambato,7308.97,0
SIN-00293,POL-00100,ASG-00232,Hogar,Responsabilidad Civil,2025-12-25,2025-12-28,26818.32,26561.72,21212.87,Negativa,Este,Accidente en carretera con policia presente. Croquis firmado por ambas partes.,False,Peritajes Express,P004,21,344,3,3,Quito,43361.7,0
SIN-00294,POL-00456,ASG-00048,Hogar,Responsabilidad Civil,2026-09-18,2026-09-21,6571.71,5761.47,4088.8,Liquidado,Norte,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,True,Taller Norte,P003,201,164,3,1,Cuenca,45388.84,0
SIN-00295,POL-00479,ASG-00108,Hogar,Dano parcial,2026-05-20,2026-05-26,12562.15,12881.44,10114.07,Cierre Sin Consecuencia,Este,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,False,Taller El Veloz,P001,16,349,6,2,Cuenca,17895.53,0
SIN-00296,POL-00406,ASG-00316,Generales,Choque,2025-08-31,2025-09-04,5360.39,4854.41,3715.21,Liquidado,Centro,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Peritajes Express,P004,29,336,4,3,Ambato,8223.98,0
SIN-00297,POL-00231,ASG-00320,Hogar,Incendio,2026-06-26,2026-06-28,19592.39,21104.4,15897.69,Pago Parcial,Norte,Accidente en carretera con policia presente. Croquis firmado por ambas partes.,True,Grua Rapida,P007,308,57,2,0,Guayaquil,46453.63,0
SIN-00298,POL-00429,ASG-00156,Vida,Choque,2025-02-06,2025-02-09,26872.72,24118.43,18691.35,Liquidado,Este,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Grua Rapida,P007,30,335,3,2,Manta,41976.43,0
SIN-00299,POL-00399,ASG-00179,Vida,Robo,2024-11-15,2024-11-18,9518.8,8963.38,8191.08,Pago Total,Centro,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,True,Peritajes Express,P004,108,257,3,0,Cuenca,44052.4,0
SIN-00300,POL-00471,ASG-00311,Vida,Incendio,2025-03-26,2025-03-27,4190.8,4363.07,4150.86,Pago Total,Sur,Accidente en carretera con policia presente. Croquis firmado por ambas partes.,True,Peritajes Express,P004,45,320,1,0,Cuenca,10258.01,0
SIN-00301,POL-00267,ASG-00146,Generales,Dano parcial,2026-10-19,2026-10-19,3390.32,3537.79,3355.57,Cierre Sin Consecuencia,Norte,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Clinica San Marcos,P002,285,80,0,1,Ambato,13707.44,0
SIN-00302,POL-00115,ASG-00127,Salud,Responsabilidad Civil,2024-10-19,2024-10-22,36088.99,29922.74,26709.36,Reserva,Este,Impacto en la parte trasera por vehiculo que huyo del lugar del accidente.,False,Taller Norte,P003,21,344,3,3,Manta,41732.83,0
SIN-00303,POL-00282,ASG-00335,Vida,Robo,2026-01-24,2026-01-26,2121.57,2151.57,1704.04,Cierre Sin Consecuencia,Sur,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Taller El Veloz,P001,230,135,2,1,Cuenca,34400.14,0
SIN-00304,POL-00151,ASG-00213,Salud,Atencion medica,2026-02-18,2026-02-19,1969.28,1663.07,1170.17,Pago Parcial,Oeste,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,True,Taller Central,P005,212,153,1,1,Quito,31457.04,0
SIN-00305,POL-00174,ASG-00164,Salud,Incendio,2025-07-15,2025-07-22,30168.12,26002.77,19372.75,Liquidado,Norte,Impacto en la parte trasera por vehiculo que huyo del lugar del accidente.,False,Taller Premium,P008,11,354,7,3,Quito,34493.03,0
SIN-00306,POL-00537,ASG-00199,Hogar,Atencion medica,2026-05-09,2026-05-09,3811.49,3629.4,2836.17,Liquidado,Oeste,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Peritajes Express,P004,270,95,0,1,Guayaquil,16620.74,0
SIN-00307,POL-00254,ASG-00037,Salud,Responsabilidad Civil,2025-04-26,2025-05-03,32472.65,27706.61,27535.2,Pago Parcial,Oeste,Impacto en la parte trasera por vehiculo que huyo del lugar del accidente.,True,Peritajes Express,P004,16,349,7,3,Manta,37259.07,0
SIN-00308,POL-00213,ASG-00178,Vida,Dano parcial,2025-01-10,2025-01-15,26516.16,22775.47,16738.19,Reserva,Este,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,True,Peritajes Express,P004,26,339,5,2,Loja,42189.7,0
SIN-00309,POL-00010,ASG-00129,Salud,Choque,2025-06-26,2025-06-29,10919.75,11986.3,9295.67,Negativa,Oeste,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,True,Grua Rapida,P007,318,47,3,1,Cuenca,27311.11,0
SIN-00310,POL-00271,ASG-00397,Hogar,Responsabilidad Civil,2026-01-05,2026-01-11,6824.83,6458.16,5139.16,Liquidado,Este,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,False,Peritajes Express,P004,28,337,6,2,Quito,9897.47,0
SIN-00311,POL-00552,ASG-00342,Generales,Choque,2025-06-09,2025-06-12,24471.93,20333.12,16063.54,Liquidado,Sur,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,False,Taller Norte,P003,18,347,3,3,Manta,35513.5,0
